county,reporting_agency,agency_full_name,ncic_number_county,ncic_number_city,ncic_number_agency,date_of_birth_mm,date_of_birth_dd,date_of_birth_yyyy,race,gender,custody_status,custody_offense,date_of_death_yyyy,date_of_death_mm,date_of_death_dd,custodial_responsibility_at_time_of_death,location_where_cause_of_death_occurred,facility_death_occured,manner_of_death,means_of_death
Marin,State,San Quentin State Prison,21,01,5C,0,0,1917,Unknown,Male,Sentenced,0,1980,2,15,CDC/CRC,Medical Treatment,Local Hospital,Natural,Not Applicable
Santa Barbara,Sheriff,Santa Barbara County Sheriff's Department,42,00,00,10,10,1954,White,Male,Booked - Awaiting Trial,400,1980,2,16,County Jail,Living,Local Hospital,Natural,Not Applicable
Monterey,Police,Monterey Police Department,27,06,00,11,15,1929,White,Male,Booked - No Charges Filed,46,1980,2,19,County Jail,Living,Local Hospital,Suicide,"Hanging,Strangulation"
San Joaquin,Police,Lodi Police Department,39,02,00,6,27,1944,White,Male,Booked - No Charges Filed,836,1980,2,19,County Jail,Living,County jail,Natural,Not Applicable
Sacramento,State,Folsom State Prison,34,01,5C,11,9,1945,White,Male,Sentenced,0,1980,2,21,CDC/CRC,Common,CDC/CRC,Homicide Willful (Other Inmate),"Knife,Cutting Instrument"
Solano,State,California Medical Facility,48,01,5C,9,5,1942,Black,Male,Sentenced,0,1980,2,21,CDC/CRC,Living,CDC/CRC,Suicide,"Hanging,Strangulation"
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,4,13,1939,White,Male,Booked - No Charges Filed,500,1980,2,22,Other,Holding,Local Hospital,Suicide,Other
Mendocino,Police,Ukiah Police Department,23,03,00,7,4,1957,American Indian,Male,Booked - No Charges Filed,100,1980,2,24,County Jail,Living,County jail,Suicide,"Hanging,Strangulation"
San Joaquin,State,Deuel Vocational Institution,39,01,5C,2,6,1959,White,Male,Sentenced,0,1980,2,28,CDC/CRC,Common,CDC/CRC,Homicide Willful (Other Inmate),"Knife,Cutting Instrument"
Santa Clara,Sheriff,Santa Clara County Sheriff's Department,43,00,00,7,26,1923,Hispanic,Male,Unknown,0,1980,3,1,County Jail,Living,Local Hospital,Natural,Not Applicable
Santa Barbara,Sheriff,Santa Barbara County Sheriff's Department,42,00,00,10,10,1955,White,Male,Booked - Awaiting Trial,570,1980,3,1,County Jail,Living,Local Hospital,Suicide,"Hanging,Strangulation"
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,7,13,1939,Black,Male,Booked - Awaiting Trial,500,1980,3,4,County Jail,Living,Local Hospital,Suicide,"Hanging,Strangulation"
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,9,18,1946,White,Male,Booked - Awaiting Trial,500,1980,3,5,County Jail,Living,Local Hospital,Natural,Not Applicable
Fresno,Sheriff,Fresno County Sheriff's Department,10,00,00,12,22,1923,Hispanic,Male,Booked - No Charges Filed,46,1980,3,7,County Jail,Living,Local Hospital,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,9,9,1917,White,Male,Booked - No Charges Filed,0,1980,3,10,County Jail,Living,Local Hospital,Natural,Not Applicable
Marin,State,San Quentin State Prison,21,01,5C,11,13,1942,American Indian,Male,Sentenced,812,1980,3,13,CDC/CRC,Living,Local Hospital,Suicide,"Knife,Cutting Instrument"
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,1,6,1933,Hispanic,Male,Booked - No Charges Filed,850,1980,3,17,County Jail,Medical Treatment,Local Hospital,Accidental,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,0,0,1936,Black,Male,Unknown,0,1980,3,22,County Jail,Common,Local Hospital,Natural,Not Applicable
Marin,State,San Quentin State Prison,21,01,5C,0,0,1926,Unknown,Male,Sentenced,0,1980,3,29,CDC/CRC,Medical Treatment,CDC/CRC,Natural,Not Applicable
Imperial,Sheriff,Imperial County Sheriff's Department,13,00,00,8,15,1940,Hispanic,Male,Booked - No Charges Filed,46,1980,4,1,County Jail,Living,Local Hospital,Accidental,Not Applicable
Alameda,Sheriff,Alameda County Sheriff's Department,1,00,00,4,21,1955,Hispanic,Male,Sentenced,320,1980,4,2,County Jail,Living,County jail,Suicide,"Hanging,Strangulation"
Sacramento,State,Folsom State Prison,34,01,5C,10,4,1927,Black,Male,Sentenced,0,1980,4,6,CDC/CRC,Living,CDC/CRC,Natural,Not Applicable
Sacramento,State,Folsom State Prison,34,01,5C,0,0,1956,Hispanic,Male,Sentenced,0,1980,4,7,CDC/CRC,Medical Treatment,Local Hospital,Natural,Not Applicable
Ventura,Sheriff,Ventura County Sheriff's Department,56,00,00,10,25,1955,Unknown,Male,Booked - No Charges Filed,610,1980,4,15,County Jail,Living,Local Hospital,Suicide,"Hanging,Strangulation"
Sacramento,State,Folsom State Prison,34,01,5C,12,30,1947,White,Male,Sentenced,0,1980,4,18,CDC/CRC,Common,CDC/CRC,Homicide Willful (Other Inmate),"Knife,Cutting Instrument"
Los Angeles,Police,Los Angeles Police Department,19,42,00,2,17,1952,White,Male,Other,0,1980,4,18,Other,Other,Other,Accidental,Not Applicable
Solano,State,California Medical Facility,48,01,5C,5,1,1951,Black,Male,Sentenced,0,1980,4,20,CDC/CRC,Living,CDC/CRC,Natural,Not Applicable
San Luis Obispo,State,California Men's Colony,40,01,5C,1,25,1919,White,Male,Sentenced,0,1980,4,26,CDC/CRC,Living,CDC/CRC,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,12,6,1952,American Indian,Male,Booked - No Charges Filed,200,1980,4,28,None,Not Applicable,Local Hospital,Natural,Not Applicable
Santa Barbara,Sheriff,Santa Barbara County Sheriff's Department,42,00,00,2,12,1912,Hispanic,Male,Unknown,0,1980,4,30,County Jail,Living,Local Hospital,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,0,0,1949,Black,Male,Awaiting Booking,56,1980,5,2,Local Hospital,Medical Treatment,Local Hospital,Accidental,Not Applicable
Los Angeles,Police,El Segundo Police Department,19,23,00,0,0,1955,White,Male,Booked - No Charges Filed,65,1980,5,2,County Jail,Living,County jail,Suicide,"Hanging,Strangulation"
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,3,8,1942,White,Male,Booked - No Charges Filed,856,1980,5,10,County Jail,Living,Local Hospital,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,12,20,1956,Hispanic,Male,Sentenced,0,1980,5,11,CDC/CRC,Living,CDC/CRC,Suicide,"Hanging,Strangulation"
Monterey,Probation,Monterey County Probation Department,27,01,3G,2,6,1965,White,Male,Booked - No Charges Filed,400,1980,5,13,Local Juvenile facility,Living,Local Juvenile Facility,Suicide,"Hanging,Strangulation"
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,12,1,1931,Hispanic,Male,Booked - No Charges Filed,856,1980,5,16,Other,Holding,Local Hospital,Accidental,Not Applicable
Monterey,Sheriff,Monterey County Sheriff's Department,27,00,00,3,27,1916,Black,Male,Booked - No Charges Filed,46,1980,5,16,County Jail,Holding,County jail,Natural,Not Applicable
Sacramento,Sheriff,Sacramento County Sheriff's Department,34,00,00,7,17,1925,White,Male,Sentenced,320,1980,5,19,County Jail,Living,Local Hospital,Natural,Not Applicable
Inyo,Sheriff,Inyo County Sheriff's Department,14,00,00,3,11,1960,White,Male,Sentenced,200,1980,5,20,County Jail,Living,Local Hospital,Suicide,"Hanging,Strangulation"
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,12,9,1949,Black,Male,Sentenced,812,1980,5,25,County Jail,Living,Local Hospital,Natural,Not Applicable
Imperial,Police,Calexico Police Department,13,02,00,3,21,1927,Hispanic,Male,Booked - No Charges Filed,46,1980,5,30,County Jail,Living,County jail,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,5,28,1957,Black,Male,Sentenced,0,1980,6,3,CDC/CRC,Medical Treatment,CDC/CRC,Natural,Not Applicable
Fresno,Sheriff,Fresno County Sheriff's Department,10,00,00,6,9,1919,Hispanic,Male,Booked - No Charges Filed,46,1980,6,6,County Jail,Common,County jail,Natural,Not Applicable
Alameda,Sheriff,Alameda County Sheriff's Department,1,00,00,7,8,1950,Black,Male,Sentenced,100,1980,6,8,County Jail,Living,County jail,Suicide,"Hanging,Strangulation"
Ventura,Sheriff,Ventura County Sheriff's Department,56,00,00,10,12,1931,Unknown,Male,Booked - No Charges Filed,46,1980,6,8,County Jail,Booking,Local Hospital,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,1,31,1959,Black,Male,Sentenced,0,1980,6,11,CDC/CRC,Living,CDC/CRC,Suicide,"Hanging,Strangulation"
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,7,10,1963,Hispanic,Male,Booked - No Charges Filed,844,1980,6,12,County Jail,Living,County jail,Natural,Not Applicable
Orange,Sheriff,Orange County Sheriff's Department,30,00,00,3,15,1949,White,Male,Booked - No Charges Filed,200,1980,6,24,None,Not Applicable,Local Hospital,Accidental,Not Applicable
Santa Clara,Sheriff,Santa Clara County Sheriff's Department,43,00,00,5,20,1926,White,Male,Booked - No Charges Filed,46,1980,6,25,County Jail,Holding,Local Hospital,Natural,Not Applicable
Monterey,State,Correctional Training Facility,27,01,5C,0,0,1931,Hispanic,Male,Sentenced,0,1980,6,26,CDC/CRC,Living,Local Hospital,Natural,Not Applicable
Humboldt,Sheriff,Humboldt County Sheriff's Department,12,00,00,6,24,1912,White,Male,Sentenced,850,1980,6,30,County Jail,Common,Local Hospital,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,5,16,1931,Hispanic,Male,Booked - Awaiting Trial,836,1980,7,2,County Jail,Living,Local Hospital,Natural,Not Applicable
Tuolumne,State,Sierra Conservation Center,55,01,5C,0,0,1957,Black,Male,Sentenced,0,1980,7,7,CDC/CRC,Common,CDC/CRC,Accidental,Not Applicable
San Francisco,Sheriff,San Francisco County Sheriff's Department,38,00,00,11,16,1924,White,Male,Booked - No Charges Filed,530,1980,7,15,County Jail,Living,County jail,Accidental,Not Applicable
San Luis Obispo,State,California Men's Colony,40,01,5C,3,19,1956,Black,Male,Sentenced,0,1980,7,15,CDC/CRC,Common,CDC/CRC,Homicide Willful (Other Inmate),"Knife,Cutting Instrument"
Sacramento,Sheriff,Sacramento County Sheriff's Department,34,00,00,3,29,1930,Black,Male,Sentenced,320,1980,7,17,County Jail,Living,County jail,Natural,Not Applicable
Orange,Sheriff,Orange County Sheriff's Department,30,00,00,10,24,1952,White,Male,Booked - Awaiting Trial,46,1980,7,23,Other,Holding,Local Hospital,Suicide,"Hanging,Strangulation"
Los Angeles,Probation,Los Angeles County Probation Department,19,27,3G,12,7,1964,Hispanic,Male,Sentenced,570,1980,8,1,Local Juvenile facility,Living,Local Hospital,Suicide,"Hanging,Strangulation"
Marin,State,San Quentin State Prison,21,01,5C,0,0,1915,White,Male,Sentenced,0,1980,8,2,CDC/CRC,Medical Treatment,Local Hospital,Natural,Not Applicable
Orange,Sheriff,Orange County Sheriff's Department,30,00,00,6,23,1938,White,Male,Booked - No Charges Filed,88,1980,8,3,County Jail,Living,County jail,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,4,2,1953,White,Male,Booked - Awaiting Trial,400,1980,8,4,County Jail,Medical Treatment,County jail,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,6,11,1955,White,Male,Sentenced,0,1980,8,5,CDC/CRC,Living,CDC/CRC,Suicide,"Hanging,Strangulation"
Humboldt,Sheriff,Humboldt County Sheriff's Department,12,00,00,6,22,1933,White,Male,Booked - Awaiting Trial,200,1980,8,7,County Jail,Living,County jail,Suicide,"Hanging,Strangulation"
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,4,12,1912,White,Male,Booked - Awaiting Trial,100,1980,8,7,County Jail,Living,Local Hospital,Natural,Not Applicable
San Bernardino,State,California Institution for Women,36,08,5C,5,7,1918,White,Female,Sentenced,81,1980,8,7,CDC/CRC,Medical Treatment,CDC/CRC,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,9,25,1952,Black,Male,Booked - Awaiting Trial,844,1980,8,15,County Jail,Common,County jail,Homicide Willful (Other Inmate),"Knife,Cutting Instrument"
Solano,State,California Medical Facility,48,01,5C,1,17,1948,Black,Male,Sentenced,0,1980,8,17,CDC/CRC,Common,CDC/CRC,Homicide Willful (Other Inmate),"Knife,Cutting Instrument"
Santa Clara,Probation,Santa Clara County Probation Department,43,01,3G,6,24,1963,Hispanic,Male,Sentenced,700,1980,8,18,Local Juvenile facility,Living,Local Hospital,Suicide,"Hanging,Strangulation"
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,11,27,1919,Black,Male,Booked - Awaiting Trial,856,1980,8,22,County Jail,Medical Treatment,County jail,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,6,23,1929,White,Male,Sentenced,510,1980,8,25,Local Hospital,Medical Treatment,Local Hospital,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,1,1,1962,Hispanic,Male,Booked - No Charges Filed,560,1980,8,25,Local Hospital,Medical Treatment,Local Hospital,Natural,Not Applicable
Los Angeles,Probation,Los Angeles County Probation Department,19,27,3G,2,19,1964,Hispanic,Male,Sentenced,530,1980,8,26,Local Juvenile facility,Living,Local Hospital,Suicide,"Hanging,Strangulation"
San Luis Obispo,Sheriff,San Luis Obispo County Sheriff's Department,40,00,00,9,29,1958,White,Male,Sentenced,0,1980,8,29,County Jail,Common,County jail,Suicide,"Hanging,Strangulation"
Marin,State,San Quentin State Prison,21,01,5C,1,19,1931,Black,Male,Sentenced,0,1980,8,29,CDC/CRC,Living,CDC/CRC,Natural,Not Applicable
Alameda,Sheriff,Alameda County Sheriff's Department,1,00,00,9,1,1958,Black,Male,Booked - Awaiting Trial,400,1980,9,9,County Jail,Living,Local Hospital,Suicide,"Hanging,Strangulation"
Solano,State,California Medical Facility,48,01,5C,4,16,1920,White,Male,Sentenced,0,1980,9,9,CDC/CRC,Medical Treatment,CDC/CRC,Natural,Not Applicable
Marin,State,San Quentin State Prison,21,01,5C,0,0,1950,Unknown,Male,Sentenced,0,1980,9,11,CDC/CRC,Medical Treatment,CDC/CRC,Natural,Not Applicable
San Francisco,Sheriff,San Francisco County Sheriff's Department,38,00,00,1,29,1954,White,Male,Booked - Awaiting Trial,320,1980,9,21,County Jail,Living,Local Hospital,Homicide Willful (Other Inmate),"Hands,Feet,Fists"
Fresno,Sheriff,Fresno County Sheriff's Department,10,00,00,7,19,1945,White,Male,Booked - No Charges Filed,570,1980,9,24,County Jail,Booking,Local Hospital,Homicide Willful (Other Inmate),"Hands,Feet,Fists"
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,3,21,1917,White,Male,Sentenced,856,1980,9,26,Adult Camp or Ranch,Living,Local Hospital,Natural,Not Applicable
Tuolumne,State,Sierra Conservation Center,55,01,5C,0,0,Unk,Hispanic,Male,Sentenced,0,1980,10,3,Other,Not Applicable,Local Hospital,Homicide Justified (Law Enforcement Staff),Firearm
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,0,0,1957,Asian,Male,Unknown,0,1980,10,20,County Jail,Living,County jail,Suicide,"Hanging,Strangulation"
Alameda,Police,Oakland Police Department,1,09,00,0,0,Unk,Unknown,Male,Booked - Awaiting Trial,46,1980,10,25,None,Other,County jail,Pending/Unknown,Not Applicable
Solano,State,California Medical Facility,48,01,5C,5,18,1945,White,Male,Sentenced,0,1980,10,30,CDC/CRC,Living,CDC/CRC,Suicide,"Hanging,Strangulation"
San Diego,Police,San Diego Police Department,37,11,00,12,19,1920,White,Male,Booked - No Charges Filed,320,1980,11,2,Other,Other,Local Hospital,Homicide Willful (Other Inmate),"Knife,Cutting Instrument"
Solano,State,California Medical Facility,48,01,5C,6,7,1939,Black,Male,Sentenced,0,1980,11,2,CDC/CRC,Medical Treatment,Local Hospital,Natural,Not Applicable
Sacramento,State,Folsom State Prison,34,01,5C,11,19,1954,White,Male,Sentenced,0,1980,11,7,CDC/CRC,Common,Local Hospital,Homicide Willful (Other Inmate),"Knife,Cutting Instrument"
Contra Costa,Police,Richmond Police Department,7,10,00,3,1,1926,Hispanic,Male,Booked - No Charges Filed,90,1980,11,8,County Jail,Living,Local Hospital,Suicide,"Hanging,Strangulation"
Marin,State,San Quentin State Prison,21,01,5C,10,1,1948,White,Male,Sentenced,0,1980,11,8,CDC/CRC,Common,CDC/CRC,Homicide Willful (Other Inmate),"Knife,Cutting Instrument"
Alameda,Sheriff,Alameda County Sheriff's Department,1,00,00,7,30,1947,Black,Male,Sentenced,100,1980,11,11,County Jail,Common,Local Hospital,Suicide,"Hanging,Strangulation"
San Joaquin,Probation,San Joaquin County Probation Department,39,01,3G,3,22,1926,White,Male,Sentenced,0,1980,11,15,Adult Camp or Ranch,Common,Local Hospital,Natural,Not Applicable
San Luis Obispo,State,California Men's Colony,40,01,5C,3,3,1928,White,Male,Sentenced,0,1980,11,16,CDC/CRC,Medical Treatment,CDC/CRC,Natural,Not Applicable
Alameda,Sheriff,Alameda County Sheriff's Department,1,00,00,0,0,Unk,Unknown,Male,Booked - Awaiting Trial,200,1980,11,18,County Jail,Living,Local Hospital,Suicide,"Hanging,Strangulation"
Marin,State,San Quentin State Prison,21,01,5C,7,30,1956,White,Male,Sentenced,200,1980,11,19,CDC/CRC,Living,CDC/CRC,Accidental,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,0,0,1956,Hispanic,Male,Booked - No Charges Filed,320,1980,11,21,County Jail,Living,Local Hospital,Suicide,"Hanging,Strangulation"
Sacramento,Sheriff,Sacramento County Sheriff's Department,34,00,00,12,25,1921,White,Male,Booked - Awaiting Trial,856,1980,11,22,County Jail,Living,Local Hospital,Accidental,Not Applicable
San Francisco,Sheriff,San Francisco County Sheriff's Department,38,00,00,10,14,1950,White,Male,Booked - No Charges Filed,320,1980,11,26,County Jail,Living,County jail,Suicide,"Hanging,Strangulation"
Marin,State,San Quentin State Prison,21,01,5C,0,0,1952,Unknown,Male,Sentenced,0,1980,11,29,CDC/CRC,Living,CDC/CRC,Suicide,"Hanging,Strangulation"
Sacramento,State,Folsom State Prison,34,01,5C,2,5,1945,Black,Male,Sentenced,200,1980,12,16,CDC/CRC,Common,Local Hospital,Homicide Willful (Other Inmate),"Knife,Cutting Instrument"
San Francisco,Sheriff,San Francisco County Sheriff's Department,38,00,00,3,12,1946,White,Male,Booked - Awaiting Trial,346,1980,12,16,County Jail,Living,Local Hospital,Suicide,"Hanging,Strangulation"
Solano,State,California Medical Facility,48,01,5C,7,10,1946,Black,Male,Sentenced,0,1980,12,17,CDC/CRC,Living,CDC/CRC,Suicide,"Hanging,Strangulation"
Monterey,State,Correctional Training Facility,27,01,5C,2,23,1954,White,Male,Sentenced,0,1980,12,17,CDC/CRC,Living,Local Hospital,Pending/Unknown,Not Applicable
San Mateo,Sheriff,San Mateo County Sheriff's Department,41,00,00,5,17,1937,White,Male,Booked - No Charges Filed,65,1980,12,18,County Jail,Common,County jail,Homicide Justified (Law Enforcement Staff),Firearm
Marin,State,San Quentin State Prison,21,01,5C,5,23,1950,White,Male,Sentenced,110,1980,12,26,CDC/CRC,Living,CDC/CRC,Suicide,Drug Overdose
Alameda,Sheriff,Alameda County Sheriff's Department,1,00,00,0,0,Unk,Black,Male,Booked - Awaiting Trial,200,1980,12,28,County Jail,Living,Local Hospital,Natural,Not Applicable
San Luis Obispo,State,California Men's Colony,40,01,5C,1,29,1943,White,Male,Sentenced,0,1980,12,28,CDC/CRC,Medical Treatment,CDC/CRC,Natural,Not Applicable
Los Angeles,Police,Southgate Police Department,19,69,00,1,11,1955,White,Male,Booked - No Charges Filed,0,1980,12,29,County Jail,Living,County jail,Suicide,"Hanging,Strangulation"
Mono,Sheriff,Mono County Sheriff's Department,26,00,00,6,2,1960,White,Male,Unknown,0,1980,8,12,County Jail,Living,County jail,Suicide,"Hanging,Strangulation"
Tulare,Sheriff,Tulare County Sheriff's Department,54,00,00,5,11,1947,White,Male,Booked - No Charges Filed,0,1980,9,7,City Jail,Living,City Jail,Suicide,"Hanging,Strangulation"
Los Angeles,Sheriff,Unknown due to data reported,19,42,00,0,0,1952,Black,Male,Other,0,1980,6,17,Other,Other,Other,Natural,Not Applicable
San Bernardino,State,California Institution for Men,36,01,5C,0,0,Unk,Unknown,Male,Sentenced,320,1980,12,15,CDC/CRC,Unknown,Local Hospital,Pending/Unknown,Unknown
Sacramento,Sheriff,Sacramento County Sheriff's Department,34,00,00,7,20,1918,White,Male,Booked - Awaiting Trial,46,1981,1,2,County Jail,Holding,County jail,Natural,Not Applicable
San Bernardino,State,California Institution for Men,36,01,5C,0,0,Unk,Unknown,Male,Sentenced,0,1981,1,9,CDC/CRC,Living,CDC/CRC,Natural,Not Applicable
Sacramento,State,Folsom State Prison,34,01,5C,0,0,Unk,Unknown,Male,Sentenced,0,1981,1,9,CDC/CRC,Medical Treatment,CDC/CRC,Natural,Not Applicable
San Joaquin,State,Deuel Vocational Institution,39,01,5C,0,0,1952,Hispanic,Male,Sentenced,0,1981,1,10,CDC/CRC,Other,CDC/CRC,Homicide Willful (Other Inmate),"Knife,Cutting Instrument"
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,8,29,1957,White,Male,Booked - Awaiting Trial,110,1981,1,11,County Jail,Living,County jail,Suicide,"Hanging,Strangulation"
San Francisco,Police,San Francisco Police Department,38,01,00,4,22,1931,Unknown,Male,Other,0,1981,1,14,Other,Other,Local Hospital,Accidental,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,8,2,1955,Black,Male,Booked - Awaiting Trial,530,1981,1,14,County Jail,Common,Local Hospital,Homicide Willful (Other Inmate),"Club,Blunt Instrument"
Contra Costa,Sheriff,Contra Costa County Sheriff's Department,7,00,00,12,31,1961,White,Female,Booked - Awaiting Trial,46,1981,1,20,County Jail,Living,County jail,Suicide,"Hanging,Strangulation"
Alameda,Police,Oakland Police Department,1,09,00,9,11,1937,Black,Female,In Transit,0,1981,1,21,None,Not Applicable,Local Hospital,Pending/Unknown,Not Applicable
Alameda,Sheriff,Alameda County Sheriff's Department,1,00,00,0,0,1941,Black,Male,In Transit,342,1981,1,22,None,Not Applicable,None,Homicide Justified (Law Enforcement Staff),"Hands,Feet,Fists"
Kern,Sheriff,Kern County Sheriff's Department,15,00,00,2,14,1930,White,Male,Booked - Awaiting Trial,46,1981,1,27,County Jail,Living,County jail,Natural,Not Applicable
Inyo,Sheriff,Inyo County Sheriff's Department,14,00,00,4,8,1957,American Indian,Male,Unknown,0,1981,1,31,County Jail,Living,County jail,Suicide,"Hanging,Strangulation"
Orange,Sheriff,Orange County Sheriff's Department,30,00,00,11,6,1937,White,Male,Sentenced,0,1981,2,5,County Jail,Living,Local Hospital,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,0,0,1951,Black,Male,Booked - Awaiting Trial,320,1981,2,8,County Jail,Living,Local Hospital,Suicide,"Hanging,Strangulation"
Orange,Sheriff,Orange County Sheriff's Department,30,00,00,7,30,1945,Asian,Male,Booked - Awaiting Trial,46,1981,2,11,County Jail,Holding,Local Hospital,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,11,7,1939,White,Male,Sentenced,0,1981,2,11,CDC/CRC,Living,CDC/CRC,Suicide,"Hanging,Strangulation"
Marin,State,San Quentin State Prison,21,01,5C,7,8,1954,White,Male,Sentenced,0,1981,2,15,CDC/CRC,Living,CDC/CRC,Natural,Not Applicable
San Joaquin,Sheriff,San Joaquin County Sheriff's Department,39,00,00,6,23,1918,White,Male,Booked - Awaiting Trial,46,1981,2,17,County Jail,Holding,Local Hospital,Homicide Willful (Other Inmate),"Club,Blunt Instrument"
Marin,Sheriff,Marin County Sheriff's Department,21,00,00,1,5,1945,Unknown,Male,Booked - Awaiting Trial,382,1981,2,19,County Jail,Holding,Local Hospital,Pending/Unknown,Not Applicable
